x,y,z,i,j,k,D1,D2,D3
0,0,0,0,0,1,0,20,99
1,0,0,0,0,1,1,20,98
2,0,0,0,0,1,2,20,97
3,0,0,0,0,1,3,20,96
4,0,0,0,0,1,4,20,95
5,0,0,0,0,1,5,20,94
6,0,0,0,0,1,6,20,93
7,0,0,0,0,1,7,20,92
8,0,0,0,0,1,8,20,91
9,0,0,0,0,1,9,20,90
10,0,0,0,0,1,10,20,89
11,0,0,0,0,1,11,20,88
12,0,0,0,0,1,12,20,87
13,0,0,0,0,1,13,20,86
14,0,0,0,0,1,14,20,85
15,0,0,0,0,1,15,20,84
16,0,0,0,0,1,16,20,83
17,0,0,0,0,1,17,20,82
18,0,0,0,0,1,18,20,81
19,0,0,0,0,1,19,20,80
20,0,0,0,0,1,20,20,79
21,0,0,0,0,1,21,20,78
22,0,0,0,0,1,22,20,77
23,0,0,0,0,1,23,20,76
24,0,0,0,0,1,24,20,75
25,0,0,0,0,1,25,20,74
26,0,0,0,0,1,26,20,73
27,0,0,0,0,1,27,20,72
28,0,0,0,0,1,28,20,71
29,0,0,0,0,1,29,20,70
30,0,0,0,0,1,30,20,69
30,0,0,0,0,1,31,20,68
30,1,0,0,0,1,32,20,67
30,2,0,0,0,1,33,20,66
30,3,0,0,0,1,34,20,65
30,4,0,0,0,1,35,20,64
30,5,0,0,0,1,36,20,63
30,6,0,0,0,1,37,20,62
30,7,0,0,0,1,38,20,61
30,8,0,0,0,1,39,20,60
30,9,0,0,0,1,40,20,59
30,10,0,0,0,1,41,20,58
30,11,0,0,0,1,42,20,57
30,12,0,0,0,1,43,20,56
30,13,0,0,0,1,44,20,55
30,14,0,0,0,1,45,20,54
30,15,0,0,0,1,46,20,53
30,16,0,0,0,1,47,20,52
30,17,0,0,0,1,48,20,51
30,18,0,0,0,1,49,50,50
30,19,0,0,0,1,50,50,49
30,20,0,0,0,1,51,50,48
30,21,0,0,0,1,52,50,47
30,22,0,0,0,1,53,50,46
30,23,0,0,0,1,54,50,45
30,24,0,0,0,1,55,50,44
30,25,0,0,0,1,56,50,43
30,26,0,0,0,1,57,50,42
30,27,0,0,0,1,58,50,41
30,28,0,0,0,1,59,50,40
30,29,0,0,0,1,60,50,39
30,30,0,0,0,1,61,50,38
30,30,1,0,0,1,62,50,37
30,30,2,0,0,1,63,50,36
30,30,3,0,0,1,64,50,35
30,30,4,0,0,1,65,50,34
30,30,5,0,0,1,66,50,33
30,30,6,0,0,1,67,50,32
30,30,7,0,1,0,68,50,31
30,30,8,0,1,0,69,50,30
30,30,9,0,1,0,70,50,29
30,30,10,0,1,0,71,50,28
30,30,11,0,1,0,72,50,27
30,30,12,0,1,0,73,50,26
30,30,13,0,1,0,74,50,25
30,30,14,0,1,0,75,50,24
30,30,15,0,1,0,76,50,23
30,30,16,1,0,0,77,50,22
30,30,17,1,0,0,78,50,21
30,30,18,1,0,0,79,50,20
30,30,19,1,0,0,80,50,19
30,30,20,1,0,0,81,50,18
30,30,21,1,0,0,82,50,17
30,30,22,1,0,0,83,50,16
30,30,23,1,0,0,84,50,15
30,30,24,1,0,0,85,50,14
30,30,25,1,0,0,86,50,13
30,30,26,1,0,0,87,30,12
30,30,27,1,1,1,88,30,11
30,30,28,1,1,1,89,30,10
30,30,29,2,2,2,90,30,9
30,30,30,3,3,3,91,30,8
30,30,30,4,4,4,92,30,7
30,30,30,5,5,5,93,30,6
30,30,30,6,6,6,94,30,5
30,30,30,7,7,7,95,30,4
30,30,30,8,8,8,96,30,3
30,30,30,9,9,9,97,30,2
30,30,30,10,10,10,98,30,1
30,30,30,11,11,11,99,30,0
